,name,logo_url
0,Boston Celtics,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=80&h=80
1,Brooklyn Nets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=80&h=80
2,New York Knicks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=80&h=80
3,Philadelphia 76Ers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png&scale=crop&cquality=40&location=origin&w=80&h=80
4,Toronto Raptors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=80&h=80
5,Chicago Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=80&h=80
6,Cleveland Cavaliers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=80&h=80
7,Detroit Pistons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png&scale=crop&cquality=40&location=origin&w=80&h=80
8,Indiana Pacers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=80&h=80
9,Milwaukee Bucks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=80&h=80
10,Atlanta Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=80&h=80
11,Charlotte Hornets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=80&h=80
12,Miami Heat,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png&scale=crop&cquality=40&location=origin&w=80&h=80
13,Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=80&h=80
14,Washington Wizards,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=80&h=80
15,Denver Nuggets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=80&h=80
16,Minnesota Timberwolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=80&h=80
17,Oklahoma City Thunder,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=80&h=80
18,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=80&h=80
19,Utah Jazz,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=80&h=80
20,Golden State Warriors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=80&h=80
21,La Clippers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=80&h=80
22,Los Angeles Lakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=80&h=80
23,Phoenix Suns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=80&h=80
24,Sacramento Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=80&h=80
25,Dallas Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=80&h=80
26,Houston Rockets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=80&h=80
27,Memphis Grizzlies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=80&h=80
28,New Orleans Pelicans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=80&h=80
29,San Antonio Spurs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=80&h=80
